location,latitude,longitude,price
Brooklyn,40.611095,-74.003311,10.0
Brooklyn,40.587223,-73.926567,1050000.0
Brooklyn,40.64542,-73.982597,700000.0
Brooklyn,40.640507,-73.926575,850000.0
Brooklyn,40.631794,-73.911827,985000.0
Brooklyn,40.611347,-74.012749,690000.0
Brooklyn,40.69561,-73.930946,800000.0
Brooklyn,40.688465,-73.977867,25000.0
Brooklyn,40.663151,-73.911659,450000.0
Brooklyn,40.628113,-73.993797,2800000.0
Brooklyn,40.589306,-73.924866,560000.0
Brooklyn,40.67683,-73.968803,1370000.0
Brooklyn,40.628132,-73.960526,550000.0
Brooklyn,40.578285,-73.973763,453000.0
Brooklyn,40.695831,-73.991989,280000.0
Brooklyn,40.634197,-73.951744,469500.0
Brooklyn,40.670258,-73.97506,675000.0
Brooklyn,40.682098,-73.879631,1075000.0
Brooklyn,40.661774,-73.91777,530000.0
Brooklyn,40.682728,-73.869659,774000.0
Brooklyn,40.652081,-73.920105,850000.0
Brooklyn,40.607239,-73.959229,239000.0
Brooklyn,40.614429,-73.947929,290000.0
Brooklyn,40.665737,-73.952774,445000.0
Brooklyn,40.687553,-73.973984,545000.0
Brooklyn,40.644409,-73.973656,723312.0
Brooklyn,40.587727,-73.971397,240000.0
Brooklyn,40.720062,-73.963531,2250000.0
Brooklyn,40.679661,-73.966621,2150000.0
Brooklyn,40.689812,-73.940918,10.0
Brooklyn,40.587132,-73.971306,430000.0
Brooklyn,40.594353,-73.966072,1750000.0
Brooklyn,40.689793,-73.962807,975000.0
Brooklyn,40.584988,-73.936241,475000.0
Brooklyn,40.635658,-74.029358,275000.0
Brooklyn,40.691711,-73.968285,995000.0
Brooklyn,40.719589,-73.964096,1200000.0
Brooklyn,40.681847,-73.980644,890000.0
Brooklyn,40.714268,-73.954262,1725000.0
Brooklyn,40.621181,-74.030167,1700000.0
Brooklyn,40.622044,-74.002312,740000.0
Brooklyn,40.686218,-73.981529,3100000.0
Brooklyn,40.635796,-73.960655,900000.0
Brooklyn,40.677128,-73.962906,490000.0
Brooklyn,40.671425,-73.934662,475000.0
Brooklyn,40.66901,-73.976021,1375000.0
Brooklyn,40.67453,-73.870438,730000.0
Brooklyn,40.613834,-73.925613,954000.0
Brooklyn,40.610699,-74.004013,950000.0
Brooklyn,40.72805,-73.957031,2400000.0
Brooklyn,40.634964,-74.034019,1287500.0
Brooklyn,40.625977,-74.03231,415000.0
Brooklyn,40.70303,-73.990768,3350000.0
Brooklyn,40.629932,-73.925308,140000.0
Brooklyn,40.665737,-73.952774,425000.0
Brooklyn,40.693317,-73.949532,1250000.0
Brooklyn,40.593761,-73.977341,660000.0
Brooklyn,40.674046,-73.933128,636500.0
Brooklyn,40.633987,-73.985619,10.0
Brooklyn,40.62265,-74.008987,1250000.0
Brooklyn,40.686455,-73.953003,1669000.0
Brooklyn,40.664837,-73.909813,875000.0
Brooklyn,40.664608,-73.989571,2680000.0
Brooklyn,40.679138,-73.90992,750000.0
Brooklyn,40.622211,-73.96244,810000.0
Brooklyn,40.60936,-73.981644,1555000.0
Brooklyn,40.636066,-73.993378,530000.0
Brooklyn,40.685215,-73.87027,618500.0
Brooklyn,40.625755,-73.97377,1680000.0
Brooklyn,40.684765,-73.870178,880000.0
Brooklyn,40.606522,-73.994247,1750000.0
Brooklyn,40.617908,-74.023804,900000.0
Brooklyn,40.6917,-73.968399,725000.0
Brooklyn,40.641788,-73.910973,1.0
Brooklyn,40.694984,-73.943634,1800000.0
Brooklyn,40.637096,-73.893883,855000.0
Brooklyn,40.71328,-73.962715,2750000.0
Brooklyn,40.674507,-73.96582,855000.0
Brooklyn,40.66708,-73.920525,7332.0
Brooklyn,40.669476,-73.885338,431000.0
Brooklyn,40.712368,-73.948799,3226000.0
Brooklyn,40.62878,-73.959717,575000.0
Brooklyn,40.636841,-73.996986,675000.0
Brooklyn,40.664684,-73.993187,680000.0
Brooklyn,40.680183,-73.890648,995000.0
Brooklyn,40.687309,-73.96711,643000.0
Brooklyn,40.719616,-73.957169,1100000.0
Brooklyn,40.647163,-73.963303,1325000.0
Brooklyn,40.687222,-73.979309,1300000.0
Brooklyn,40.638741,-74.000244,875000.0
Brooklyn,40.691517,-73.990601,536000.0
Brooklyn,40.640511,-74.008286,2800000.0
Brooklyn,40.633049,-73.970612,195000.0
Brooklyn,40.599106,-73.956245,1350000.0
Brooklyn,40.681511,-73.996574,5880000.0
Brooklyn,40.585522,-73.966858,340000.0
Brooklyn,40.657009,-73.980522,2035000.0
Brooklyn,40.632496,-73.94149,1310000.0
Brooklyn,40.589863,-73.964783,1400000.0
Brooklyn,40.612858,-73.978409,1600000.0
Brooklyn,40.681038,-73.952461,33601602.0
Brooklyn,40.675663,-74.012535,1150000.0
Brooklyn,40.688683,-73.993134,7065000.0
Brooklyn,40.617863,-73.971474,253000.0
Brooklyn,40.646027,-73.981491,400000.0
Brooklyn,40.658703,-73.982529,240750.0
Brooklyn,40.586796,-73.98439,270000.0
Brooklyn,40.611618,-73.965706,265000.0
Brooklyn,40.594128,-73.957909,390754.0
Brooklyn,40.732906,-73.959579,1210000.0
Brooklyn,40.651882,-73.964134,1070000.0
Brooklyn,40.693653,-74.000275,1263000.0
Brooklyn,40.69809,-73.9944,679000.0
Brooklyn,40.575802,-73.974503,400000.0
Brooklyn,40.601841,-73.995529,450000.0
Brooklyn,40.63063,-74.02401,1290000.0
Brooklyn,40.687778,-73.971527,925000.0
Brooklyn,40.680828,-73.916069,680000.0
Brooklyn,40.621143,-73.996628,500000.0
Brooklyn,40.693161,-73.993179,1018000.0
Brooklyn,40.672482,-73.973259,3203266.0
Brooklyn,40.678547,-73.935448,947500.0
Brooklyn,40.585564,-73.962036,870000.0
Brooklyn,40.661762,-73.955963,10.0
Brooklyn,40.659431,-73.953667,10.0
Brooklyn,40.662205,-73.91494,540000.0
Brooklyn,40.670628,-73.95195,2575000.0
Brooklyn,40.683521,-73.999474,3017500.0
Brooklyn,40.596966,-73.969254,1100000.0
Brooklyn,40.638382,-73.890404,10.0
Brooklyn,40.684753,-73.922195,1250000.0
Brooklyn,40.633121,-74.000587,1760000.0
Brooklyn,40.660458,-73.981026,153927.0
Brooklyn,40.625374,-73.957359,1500000.0
Brooklyn,40.625343,-74.030609,1300000.0
Brooklyn,40.6422,-74.011086,1220000.0
Brooklyn,40.613861,-74.009392,925000.0
Brooklyn,40.598953,-73.966309,4000000.0
Brooklyn,40.606182,-73.901909,2400000.0
Brooklyn,40.580421,-73.958794,550000.0
Brooklyn,40.687466,-73.948273,1905000.0
Brooklyn,40.709511,-73.967766,1100000.0
Brooklyn,40.660072,-73.990723,1190000.0
Brooklyn,40.621143,-73.996628,500000.0
Brooklyn,40.63063,-74.02401,1290000.0
Brooklyn,40.687778,-73.971527,925000.0
Brooklyn,40.575802,-73.974503,400000.0
Brooklyn,40.634956,-73.993973,800000.0
Brooklyn,40.681469,-73.972328,1160000.0
Brooklyn,40.624989,-74.020859,365000.0
Brooklyn,40.701382,-73.952545,800000.0
Brooklyn,40.703251,-73.980331,2550000.0
Brooklyn,40.685341,-73.967812,760000.0
Brooklyn,40.721924,-73.94368,715000.0
Brooklyn,40.610561,-73.93396,725000.0
Brooklyn,40.599621,-73.980354,875000.0
Brooklyn,40.664402,-73.984032,849000.0
Brooklyn,40.684826,-73.938705,850000.0
Brooklyn,40.604996,-73.971489,2150000.0
Brooklyn,40.615463,-74.034637,352000.0
Brooklyn,40.698345,-73.994667,1230000.0
Brooklyn,40.617271,-73.99823,799000.0
Brooklyn,40.729412,-73.958931,1225000.0
Brooklyn,40.614315,-74.031746,410000.0
Brooklyn,40.598557,-73.998932,694000.0
Brooklyn,40.685059,-74.001823,41500.0
Brooklyn,40.633816,-73.951591,440000.0
Brooklyn,40.605858,-73.942574,315000.0
Brooklyn,40.675556,-73.969254,705000.0
Brooklyn,40.676708,-73.970184,1237771.0
Brooklyn,40.586796,-73.98439,470000.0
Brooklyn,40.667538,-73.960594,405000.0
Brooklyn,40.585438,-73.934494,337000.0
Brooklyn,40.613838,-73.984833,751000.0
Brooklyn,40.6749,-73.967896,900000.0
Brooklyn,40.69899,-73.958366,445000.0
Brooklyn,40.648777,-74.014076,1235000.0
Brooklyn,40.613892,-73.995888,1500000.0
